id,usuario,inicio,motivo_inicio,fim,motivo_fim,duracao_min,status,criado_em,atualizado_em,modulo,entregavel
imp_mucn1gc2_pacuk1,gustavo.dias,2026-09-22T08:05,"Mauricio (COM) pediu ajuda para gerar documento no Claude sobre Disparo de Satélite, Áudio Externo, ProgAuto, Integrações, ExportaLog....
",2026-09-22T09:05,"Mauricio (COM) pediu ajuda para gerar documento no Claude sobre Disparo de Satélite, Áudio Externo, ProgAuto, Integrações, ExportaLog....
",60,finalizado,2026-09-22T12:16:13.298Z,2026-09-22T12:16:13.298Z,playout,"Mauricio (COM) pediu ajuda para gerar documento no Claude sobre Disparo de Satélite, Áudio Externo, ProgAuto, Integrações, ExportaLog....
"
imp_mubqfb8e_sh4xp1,gustavo.dias,2026-09-21T14:30,"Apresentação da CN-Musical para o Sr. Tiago da Rádio Educadora FM 103.9 Mhz - Laranjeiras do Sul/PR (Part. Karina e Nayana)
",2026-09-21T15:30,"Apresentação da CN-Musical para o Sr. Tiago da Rádio Educadora FM 103.9 Mhz - Laranjeiras do Sul/PR (Part. Karina e Nayana)
",60,finalizado,2026-09-21T21:03:12.542Z,2026-09-21T21:03:12.542Z,programacao-cn,"Apresentação da CN-Musical para o Sr. Tiago da Rádio Educadora FM 103.9 Mhz - Laranjeiras do Sul/PR (Part. Karina e Nayana)
"
