id,usuario,inicio,motivo_inicio,fim,motivo_fim,duracao_min,status,criado_em,atualizado_em,modulo,entregavel
imp_mud2svtf_6c6bfs,francisco,2026-09-21T14:00,Atendimento a TV Câmara de Rio Preto,2026-09-21T15:00,Coletei todos devidos logs que o sistema gera para passar para o Jorge analisar o ocorrido.,60,finalizado,2026-09-22T19:37:27.315Z,2026-09-22T19:37:27.315Z,experiencia,...........................................................................
imp_mu1l3uwo_r3pv1o,francisco,2026-09-14T15:00,Auxilio ao Renan da YT para configurar a fonte NDI e XML do IA.,2026-09-14T15:35,Acessei remoto a máquina do Renan e fiz todo o procedimento.,35,finalizado,2026-09-14T18:36:38.328Z,2026-09-14T18:36:38.328Z,,
